,Player,ActivePoss,ActivePossScored,ScorePerc,Touches,PickUp,CenterThrow,DumpThrow,SwingThrow,UpLineThrow,UnderThrow,DeepCutThrow,CrashThrow,ThroughThrow,OverTopThrow,DishThrow,OpenThrow,Completion,HanTurn,CompPerc,ExpCompPerc,CPOE,CenterCatch,DumpCatch,SwingCatch,UpLineCatch,UnderCatch,DeepCutCatch,CrashCatch,ThroughCatch,OverTopCatch,DishCatch,OpenCatch,Catch,RecTurn,CatchPerc,MedianStall,ForceThrow,BreakThrow,BreakThrowPerc,ResetThrow,ShortThrow,MediumThrow,DeepThrow,AvgThrow,ForceCatch,BreakCatch,BreakCatchPerc,ResetCatch,ShortCatch,MediumCatch,DeepCatch,AvgCatch,HanError,RecError,HanErrorPerc,RecErrorPerc,BasicHanEPA,BasicRecEPA,BasicEPA,BasicHanEPAComp,BasicRecEPAComp,BasicEPAComp,BasicHanEPATurn,BasicRecEPATurn,BasicEPATurn,BasicHanEPAOpp,BasicRecEPAOpp,BasicEPAOpp,BasicHanEPACompOpp,BasicRecEPACompOpp,BasicEPACompOpp,TrueHanEPA,TrueRecEPA,TrueEPA,TrueHanEPAPos,TrueRecEPAPos,TrueEPAPos,TrueHanEPANeg,TrueRecEPANeg,TrueEPANeg,HanEPA,RecEPA,HanEPARes,HanEPA2,HanEPATurn,RecEPATurn,EPA,TourneyScore,TourneyGrade,EPAPerPoss,EPAPerTouch
11,DG,24,9,37.5,73,3,3,0,5,3,12,8,1,1,0,0,0,28,5,84.8,80.5,4.3,0,3,10,5,13,2,0,3,0,0,1,30,7,81.1,4,23,10,30.3,8,9,7,6,12,25,12,32.4,13,16,6,2,6.49,-5.5,-2.5,-16.7,-6.8,1.277,-2.829,-1.552,3.511,0.781,4.291,-2.233,-3.61,-5.843,1.342,-2.783,-1.441,3.552,0.845,4.397,0.157,-1.182,-0.9,2.813,0.31,3.123,-2.656,-1.492,-4.148,-0.003,-0.698,0.37,0.408,-1.897,-1.076,-0.548,-0.73,D,-0.022851002,-0.007512658
12,AH,32,11,34.4,134,16,2,9,26,2,13,1,3,3,0,2,4,62,3,95.4,91.7,3.7,4,4,25,6,3,0,3,3,0,5,0,49,4,92.5,4,48,17,26.2,40,21,1,1,2.46,36,17,32.1,35,13,1,0,1.63,-2.5,1.5,-3.8,2.8,-0.383,-1.198,-1.581,0.705,0.416,1.121,-1.088,-1.614,-2.702,-0.188,-1.051,-1.239,0.871,0.522,1.393,-0.443,0.609,0.291,1.895,0.609,2.504,-2.337,0,-2.337,-0.014,0.588,0.88,0.818,-1.026,0,1.148,0.73,B,0.035874344,0.008567007
13,JS,18,6,33.3,38,0,0,0,2,1,7,0,0,2,0,0,2,10,4,71.4,90.7,-19.3,0,1,4,1,10,3,0,0,1,2,2,19,5,79.2,3.5,12,2,14.3,3,9,2,0,5.36,17,7,29.2,8,10,3,3,8.33,-3,0,-21.4,0,-1.259,0.112,-1.148,0.522,1.637,2.158,-1.781,-1.525,-3.306,-1.165,0.234,-0.931,0.596,1.767,2.363,-1.032,0.421,-0.486,0.478,0.421,0.9,-1.51,0,-1.51,-0.813,0.284,0.359,-0.629,-1.246,0,-0.604,-0.55,D,-0.033532666,-0.015883894
14,JD,17,7,41.2,42,1,0,1,5,2,6,0,0,0,0,4,1,17,2,89.5,90.6,-1.1,0,0,1,1,15,2,0,2,0,0,1,21,1,95.5,4,12,7,36.8,12,5,2,0,2.89,12,10,45.5,2,10,8,2,10.91,-2,0,-10.5,0,-0.387,2.443,2.056,0.544,2.786,3.331,-0.932,-0.343,-1.275,-0.311,2.551,2.24,0.616,2.884,3.5,-0.532,0.676,0.268,0.791,0.676,1.467,-1.323,0,-1.323,-0.33,0.622,0.562,-0.046,-0.829,0,0.318,0.3,B,0.018680686,0.00756123
15,KA,21,3,14.3,44,2,0,0,8,0,7,0,0,1,0,2,2,17,3,85,90.9,-5.9,1,0,5,0,12,0,0,0,1,1,2,18,4,81.8,4,13,7,35,12,8,0,0,2,18,4,18.2,7,14,0,0,3.33,-3,0.5,-15,2.3,-0.095,-1.362,-1.457,0.737,0.19,0.928,-0.832,-1.552,-2.385,0.044,-1.212,-1.168,0.845,0.319,1.164,-0.176,0.287,0.235,0.694,0.287,0.981,-0.87,0,-0.87,-0.688,0.342,0.27,-0.412,-1.047,0,-0.328,-0.05,C,-0.015626406,-0.007458057
16,MC,29,10,34.5,99,15,3,3,9,5,10,2,5,2,2,2,3,43,3,93.5,89.2,4.3,2,2,17,6,3,2,2,1,0,3,0,33,5,86.8,3,36,10,21.7,20,12,9,2,6.16,27,11,28.9,24,5,5,2,4.72,-3,-0.5,-6.5,-1.3,1.348,-1.214,0.134,2.198,0.941,3.139,-0.85,-2.155,-3.005,1.351,-1.206,0.145,2.168,0.981,3.15,0.791,0.189,1.104,1.96,0.338,2.298,-1.169,-0.149,-1.318,0.216,0,0.961,0.868,-1.043,-0.221,0.609,0.87,B,0.020995103,0.006150081
17,MJ,31,11,35.5,88,6,1,4,11,0,10,3,1,5,1,1,1,32,6,84.2,87.7,-3.5,0,0,15,2,12,5,2,4,1,1,2,35,9,79.5,4,26,12,31.6,19,12,3,3,5.68,26,18,40.9,18,15,5,6,8.18,-6.5,-2.5,-17.1,-5.7,0.298,-2.022,-1.725,2.125,2.044,4.17,-1.828,-4.067,-5.895,0.403,-1.906,-1.503,2.164,2.128,4.293,-0.323,-0.509,-0.707,2.123,0.584,2.707,-2.446,-1.093,-3.539,-1.275,-0.533,0.244,-0.831,-2.484,-1.03,-1.623,-1.18,F,-0.052346123,-0.018440111
18,OW,34,8,23.5,116,13,3,3,12,6,25,5,0,1,0,1,0,49,7,87.5,86.6,0.9,7,6,24,1,5,0,0,0,1,1,2,43,4,91.5,3,43,13,23.2,19,19,10,5,7.92,30,17,36.2,32,6,2,0,1.5,-6.5,-2,-11.6,-4.3,-0.765,-1.555,-2.32,1.986,0.217,2.203,-2.751,-1.773,-4.524,-0.621,-1.453,-2.075,2.077,0.317,2.394,-0.922,-0.479,-1.276,2.062,0.254,2.316,-2.983,-0.733,-3.717,-0.414,-0.62,0.976,0.398,-1.678,-0.838,-0.481,-0.89,D,-0.014137562,-0.004143768
19,PK,20,4,20,64,4,2,3,8,5,7,2,0,3,0,0,0,24,6,80,87.4,-7.4,1,4,9,2,12,0,0,0,0,1,1,26,4,86.7,3,20,10,33.3,11,14,1,2,5.54,23,7,23.3,14,14,1,0,2.93,-8,-1.5,-26.7,-5,-1.317,-0.177,-1.493,0.947,1.136,2.083,-2.264,-1.313,-3.577,-1.247,-0.092,-1.339,1.003,1.178,2.181,-2.041,-0.388,-2.305,0.871,0.344,1.214,-2.912,-0.732,-3.644,-2.512,-0.372,0.157,-2.131,-2.308,-0.837,-2.761,-2.56,F,-0.138035668,-0.043136146
20,WM,17,9,52.9,34,0,0,2,1,2,8,0,0,0,0,1,0,13,1,92.9,90.1,2.8,0,0,0,0,15,5,0,0,0,0,0,17,3,85,4.5,12,2,14.3,5,6,3,0,5.36,18,2,10,0,8,11,1,12,-1,-1.5,-7.1,-7.5,-0.254,1.483,1.229,0.144,2.689,2.833,-0.398,-1.206,-1.604,-0.301,1.439,1.138,0.118,2.611,2.729,-0.379,0.119,-0.136,0.279,0.638,0.917,-0.659,-0.519,-1.177,-0.085,-0.038,0.459,0.149,-0.443,-0.618,-0.148,-0.14,C,-0.008724504,-0.004362252
21,RG,8,3,37.5,14,0,0,0,2,1,2,0,0,0,0,0,0,4,1,80,87.9,-7.9,0,0,0,0,8,1,0,0,0,0,0,6,3,66.7,5,2,3,60,2,2,1,0,5,7,2,22.2,0,4,4,1,12.78,-1,-1,-20,-11.1,0.525,-0.714,-0.189,0.838,0.629,1.467,-0.313,-1.343,-1.656,0.434,-0.857,-0.423,0.754,0.517,1.271,0.269,-0.12,0.274,0.589,0.161,0.75,-0.32,-0.281,-0.601,-0.325,-0.352,0.17,-0.245,-0.417,-0.443,-0.856,-0.29,D,-0.107016412,-0.061152236
22,SL,36,11,30.6,137,16,7,1,11,3,27,6,1,6,1,0,3,58,8,87.9,86.6,1.3,3,1,25,9,10,0,0,1,0,4,2,51,4,92.7,3,46,20,30.3,14,25,14,6,9.24,43,12,21.8,33,13,6,0,2.98,-5,0,-7.6,0,-0.013,-0.189,-0.201,3.244,1.291,4.535,-3.257,-1.48,-4.736,-0.157,-0.232,-0.39,3.116,1.236,4.351,0.044,0.466,0.634,3.325,0.466,3.79,-3.281,0,-3.281,1.108,0.458,0.904,2.013,-2.103,0,2.212,1.44,A,0.061449309,0.016147264
23,JB,30,8,26.7,81,3,0,0,7,2,13,4,0,0,0,0,8,31,3,91.2,85.8,5.4,0,0,3,4,29,3,0,2,0,0,3,34,10,77.3,4.5,26,8,23.5,8,19,5,2,7.06,34,10,22.7,4,29,8,3,8.41,-2,-3.5,-5.9,-8,1.672,-2.602,-0.931,3.342,1.872,5.214,-1.671,-4.474,-6.145,1.834,-2.411,-0.577,3.508,2.031,5.54,1.645,-0.691,1.079,3.091,0.56,3.652,-1.446,-1.251,-2.697,1.534,-0.648,0.386,2.045,-0.623,-1.251,1.138,1.12,A,0.037934624,0.014049861
24,SI,31,8,25.8,98,13,3,3,17,4,14,2,0,1,0,1,1,40,6,87,89.8,-2.8,2,4,18,2,9,0,1,0,0,0,3,34,5,87.2,4,34,12,26.1,22,11,8,2,5.7,28,11,28.2,23,11,3,0,2.7,-5,-1.5,-10.9,-3.8,0.517,-2.832,-2.315,2.826,-0.413,2.413,-2.309,-2.419,-4.728,0.564,-2.838,-2.274,2.873,-0.455,2.418,0.349,-0.888,-0.415,2.44,0.141,2.581,-2.091,-1.03,-3.12,-1.029,-0.398,0.768,-0.424,-2.147,-0.62,-1.08,-0.76,D,-0.034847496,-0.011023187
25,SP,27,11,40.7,89,1,0,4,16,4,9,2,0,3,0,2,0,38,2,95,88.4,6.6,0,2,11,5,19,2,0,4,0,2,3,43,5,89.6,4,23,17,42.5,22,14,2,2,4.25,30,18,37.5,20,24,2,2,4.58,-1.5,-1,-3.8,-2.1,1.208,0.39,1.597,1.931,2.626,4.557,-0.724,-2.237,-2.96,1.454,0.669,2.123,2.156,2.86,5.016,1.23,0.371,1.725,1.906,0.757,2.663,-0.677,-0.386,-1.063,1.053,0.287,0.447,1.649,-0.416,-0.414,1.678,1.72,A,0.062133475,0.018849481
26,TP,14,6,42.9,34,1,0,1,3,2,7,0,0,0,0,2,1,14,2,87.5,90.7,-3.2,0,0,0,0,13,3,0,0,0,0,1,16,1,94.1,4.5,13,3,18.8,6,7,3,0,5,16,1,5.9,0,8,6,3,13.82,-2,-0.5,-12.5,-2.9,-0.213,2.364,2.151,1.177,2.707,3.884,-1.39,-0.343,-1.733,-0.238,2.332,2.095,1.153,2.669,3.822,-0.517,0.458,0.065,1,0.794,1.794,-1.517,-0.336,-1.854,-0.314,0.402,0.16,-0.051,-0.825,-0.408,0.092,0.08,C,0.006543798,0.002694505
