"","Player","ActivePoss","ActivePossScored","ScorePerc","Touches","PickUp","CenterThrow","DumpThrow","SwingThrow","UpLineThrow","UnderThrow","DeepCutThrow","CrashThrow","ThroughThrow","OverTopThrow","DishThrow","OpenThrow","Completion","HanTurn","CompPerc","ExpCompPerc","CPOE","CenterCatch","DumpCatch","SwingCatch","UpLineCatch","UnderCatch","DeepCutCatch","CrashCatch","ThroughCatch","OverTopCatch","DishCatch","OpenCatch","Catch","RecTurn","CatchPerc","MedianStall","ForceThrow","BreakThrow","BreakThrowPerc","ResetThrow","ShortThrow","MediumThrow","DeepThrow","AvgThrow","ForceCatch","BreakCatch","BreakCatchPerc","ResetCatch","ShortCatch","MediumCatch","DeepCatch","AvgCatch","HanError","RecError","HanErrorPerc","RecErrorPerc","BasicHanEPA","BasicRecEPA","BasicEPA","BasicHanEPAComp","BasicRecEPAComp","BasicEPAComp","BasicHanEPATurn","BasicRecEPATurn","BasicEPATurn","BasicHanEPAOpp","BasicRecEPAOpp","BasicEPAOpp","BasicHanEPACompOpp","BasicRecEPACompOpp","BasicEPACompOpp","TrueHanEPA","TrueRecEPA","TrueEPA","TrueHanEPAPos","TrueRecEPAPos","TrueEPAPos","TrueHanEPANeg","TrueRecEPANeg","TrueEPANeg","HanEPA","RecEPA","HanEPARes","HanEPA2","HanEPATurn","RecEPATurn","EPA","TourneyScore","TourneyGrade","EPAPerPoss","EPAPerTouch"
"11","Gribs",24,9,37.5,73,3,3,0,5,3,12,8,1,1,0,0,0,28,5,84.8,80.5,4.3,0,3,10,5,13,2,0,3,0,0,1,30,7,81.1,4,23,10,30.3,8,9,7,6,12,25,12,32.4,13,16,6,2,6.49,-5.5,-2.5,-16.7,-6.8,1.27124473227909,-2.83530811035965,-1.56406337808056,3.50452852209093,0.774435411449025,4.27896393353995,-2.23328378981184,-3.60974352180868,-5.84302731162051,1.33919753337377,-2.78455335978081,-1.44535582640704,3.54853559916139,0.842388212543698,4.39092381170509,0.155490818018762,-1.18242977591512,-0.902062054855162,2.80395574997728,0.309316746033262,3.11327249601054,-2.64846493195851,-1.49174652194838,-4.14021145390689,-0.00435146920534623,-0.698896748289021,0.370197370422849,0.4067,-1.89895507774674,-1.07693265474104,-0.550814162916091,-0.74,"D",-0.0229505901215038,-0.00754539949200125
"12","Holladay",32,11,34.4,134,16,2,9,26,2,13,1,3,3,0,2,4,62,3,95.4,91.7,3.69999999999999,4,4,25,6,3,0,3,3,0,5,0,49,4,92.5,4,48,17,26.2,40,21,1,1,2.46,36,17,32.1,35,13,1,0,1.63,-2.5,1.5,-3.8,2.8,-0.383114390445429,-1.19172123020804,-1.57483562065347,0.704877327981374,0.421988907345053,1.12686623532643,-1.0879917184268,-1.6137101375531,-2.7017018559799,-0.180411208027095,-1.03932210154551,-1.21973330957261,0.877798281511638,0.533037963246053,1.41083624475769,-0.432929084676839,0.611465652120541,0.303413470484896,1.88186502037341,0.611465652120541,2.49333067249395,-2.31479410505025,0,-2.31479410505025,-0.00910240504521459,0.589037382574676,0.881344366642903,0.8231,-1.02663611008208,0,1.15351996794761,0.74,"B",0.0360474989983627,0.00860835796975826
"13","Jack",18,6,33.3,38,0,0,0,2,1,7,0,0,2,0,0,2,10,4,71.4,90.7,-19.3,0,1,4,1,10,3,0,0,1,2,2,19,5,79.2,3.5,12,2,14.3,3,9,2,0,5.36,17,7,29.2,8,10,3,3,8.33,-3,0,-21.4,0,-1.25930535636074,0.117771257879277,-1.14153409848146,0.521768032508301,1.6427893278686,2.1645573603769,-1.78107338886904,-1.52501806998932,-3.30609145885836,-1.16291951504179,0.243199142551349,-0.919720372490445,0.597081104974887,1.77608535467421,2.37316645964909,-1.02953977136325,0.423620201671459,-0.4810426666506,0.47385188609744,0.423620201671459,0.897472087768898,-1.50339165746069,0,-1.50339165746069,-0.813863652427174,0.284281793230289,0.359066927335537,-0.6293,-1.2468971880583,0,-0.60363562139678,-0.55,"D",-0.0335353122998211,-0.0158851479314942
"14","John",17,7,41.2,42,1,0,1,5,2,6,0,0,0,0,4,1,17,2,89.5,90.6,-1.10000000000001,0,0,1,1,15,2,0,2,0,0,1,21,1,95.5,4,12,7,36.8,12,5,2,0,2.89,12,10,45.5,2,10,8,2,10.91,-2,0,-10.5,0,-0.393448316864548,2.42488930875372,2.03144099188917,0.544322706305115,2.76786451536543,3.31218722167055,-0.937771023169663,-0.342975206611711,-1.28074622978137,-0.31393904161322,2.53689804716915,2.22295900555593,0.619421259233875,2.8690815791498,3.48850283838368,-0.535551190055791,0.67343706111178,0.262762774097183,0.792190757819488,0.67343706111178,1.46562781893127,-1.32774194787528,0,-1.32774194787528,-0.330301284116485,0.621455940282693,0.562008927510045,-0.0451,-0.829892933237827,0,0.317738525655624,0.29,"B",0.0186905015091543,0.00756520299180056
"15","Ken",21,3,14.3,44,2,0,0,8,0,7,0,0,1,0,2,2,17,3,85,90.9,-5.90000000000001,1,0,5,0,12,0,0,0,1,1,2,18,4,81.8,4,13,7,35,12,8,0,0,2,18,4,18.2,7,14,0,0,3.33,-3,0.5,-15,2.3,-0.100986169321189,-1.38071100911395,-1.48169717843514,0.731315810877003,0.171742270612539,0.903058081489542,-0.832301980198192,-1.55245327972649,-2.38475525992468,0.0407558453600603,-1.2272767112883,-1.18652086592824,0.840558362394156,0.303203191072483,1.14376155346664,-0.178510693347862,0.284513505794738,0.230879715488071,0.690086640261804,0.284513505794738,0.974600146056542,-0.868597333609666,0,-0.868597333609666,-0.68707568892354,0.342928105148066,0.270766334684172,-0.4113,-1.04792700950293,0,-0.326989309479004,-0.05,"C",-0.0155709194990002,-0.0074315752154319
"16","Micah",29,10,34.5,99,15,3,3,9,5,10,2,5,2,2,2,3,43,3,93.5,89.2,4.3,2,2,17,6,3,2,2,1,0,3,0,33,5,86.8,3,36,10,21.7,20,12,9,2,6.16,27,11,28.9,24,5,5,2,4.72,-3,-0.5,-6.5,-1.3,1.34210136163355,-1.22025739104352,0.12184397059003,2.19806390116459,0.94083271973265,3.13889662089724,-0.85596253953104,-2.16109011077617,-3.01705265030721,1.35052130879214,-1.20682768558914,0.143693623202997,2.17385994588815,0.985776835477234,3.15963678136538,0.793537429207042,0.189881923701569,1.10829625594981,1.95598502916052,0.338695579703689,2.29468060886421,-1.16244759995348,-0.14881365600212,-1.3112612559556,0.217340090306951,0,0.961272844516357,0.8684,-1.04378921894458,-0.221583181542198,0.60978258537293,0.87,"B",0.0210269857025148,0.00615942005427202
"17","MJ",31,11,35.5,88,6,1,4,11,0,10,3,1,5,1,1,1,32,6,84.2,87.7,-3.5,0,0,15,2,12,5,2,4,1,1,2,35,9,79.5,4,26,12,31.6,19,12,3,3,5.68,26,18,40.9,18,15,5,6,8.18,-6.5,-2.5,-17.1,-5.7,0.297815006196006,-2.03480426957754,-1.73698926338153,2.1316505694014,2.03822312134621,4.16987369074761,-1.83383556320539,-4.07302739092375,-5.90686295412914,0.408175170167957,-1.91310454301843,-1.50492937285047,2.17455886004699,2.12675105751418,4.30130991756117,-0.319018627478575,-0.508560426733353,-0.702702151170733,2.12389412567723,0.584605241029183,2.70849936670641,-2.44291275315581,-1.09316566776254,-3.53607842091834,-1.27620940246236,-0.533517478363836,0.24434139674226,-0.832,-2.48661371874182,-1.03131029918856,-1.62413489299091,-1.18,"F",-0.0523914481609969,-0.0184560783294421
"18","Owen",34,8,23.5,116,13,3,3,12,6,25,5,0,1,0,1,0,49,7,87.5,86.6,0.900000000000006,7,6,24,1,5,0,0,0,1,1,2,43,4,91.5,3,43,13,23.2,19,19,10,5,7.92,30,17,36.2,32,6,2,0,1.5,-6.5,-2,-11.6,-4.3,-0.7835041949904,-1.53686097309152,-2.32036516808192,1.96747582627775,0.235828182510761,2.20330400878851,-2.75098002126815,-1.77268915560228,-4.52366917687044,-0.630929944126194,-1.42781802527883,-2.05874796940503,2.06647784512551,0.34174715765304,2.40822500277855,-0.931729573125454,-0.476996595334894,-1.28384926541915,2.04057385554939,0.255953779508046,2.29652763505744,-2.97230342867485,-0.732950374842939,-3.70525380351779,-0.420077615164541,-0.619748532280057,0.976818795799702,0.3921,-1.6791658895397,-0.838535743147896,-0.486265946907127,-0.9,"D",-0.0143019396149155,-0.00419194781816489
"19","Piyush",20,4,20,64,4,2,3,8,5,7,2,0,3,0,0,0,24,6,80,87.4,-7.40000000000001,1,4,9,2,12,0,0,0,0,1,1,26,4,86.7,3,20,10,33.3,11,14,1,2,5.54,23,7,23.3,14,14,1,0,2.93,-8,-1.5,-26.7,-5,-1.31664268942018,-0.195371300074812,-1.51201398949499,0.947482487315543,1.12362861725097,2.07111110456651,-2.26412517673572,-1.31899991732578,-3.5831250940615,-1.24268166178774,-0.106349025050483,-1.34903068683823,1.00668866641692,1.16923531520921,2.17592398162614,-2.03822161806415,-0.388122530247712,-2.30146724527067,0.871822627041999,0.343583178791765,1.21540580583376,-2.91004424510615,-0.731705709039477,-3.64174995414563,-2.51232629738403,-0.371653405258449,0.158072235111713,-2.1311,-2.31003133108077,-0.837514049490676,-2.76137081988552,-2.56,"F",-0.138068540994276,-0.0431464190607112
"20","Pookie",17,9,52.9,34,0,0,2,1,2,8,0,0,0,0,1,0,13,1,92.9,90.1,2.8,0,0,0,0,15,5,0,0,0,0,0,17,3,85,4.5,12,2,14.3,5,6,3,0,5.36,18,2,10,0,8,11,1,12,-1,-1.5,-7.1,-7.5,-0.260240318125488,1.48915464437601,1.22891432625052,0.138197181874649,2.69477862415966,2.83297580603431,-0.398437500000137,-1.20562397978365,-1.60406147978379,-0.305782484564721,1.44743661894765,1.14165413438292,0.113552767691171,2.61900879708238,2.73256156477355,-0.382822521451831,0.120474983002939,-0.137470635407698,0.275392868274351,0.639080879944868,0.91447374821922,-0.658215389726183,-0.51860589694193,-1.17682128666811,-0.084481896379695,-0.0390051007408323,0.458974165789207,0.1487,-0.443166363084396,-0.618274665171667,-0.148922515367902,-0.14,"C",-0.00876014796281775,-0.00438007398140888
"21","Ryan",8,3,37.5,14,0,0,0,2,1,2,0,0,0,0,0,0,4,1,80,87.9,-7.90000000000001,0,0,0,0,8,1,0,0,0,0,0,6,3,66.7,5,2,3,60,2,2,1,0,5,7,2,22.2,0,4,4,1,12.78,-1,-1,-20,-11.1,0.525283300227663,-0.713800863118172,-0.18851756289051,0.837783300227733,0.629222230397499,1.46700553062523,-0.31250000000007,-1.34302309351567,-1.65552309351574,0.434535169653745,-0.855674406585896,-0.421139236932151,0.754192291204709,0.517576347567826,1.27176863877254,0.26967257855214,-0.119674795924343,0.274874685668991,0.589329700103104,0.161123946430473,0.750453646533577,-0.319657121550964,-0.280798742354817,-0.600455863905781,-0.325483640450338,-0.352792979052567,0.169571409286197,-0.2456,-0.417709823123382,-0.443166363084396,-0.857010393679637,-0.29,"D",-0.107126299209955,-0.061215028119974
"22","Slade",36,11,30.6,137,16,7,1,11,3,27,6,1,6,1,0,3,58,8,87.9,86.6,1.30000000000001,3,1,25,9,10,0,0,1,0,4,2,51,4,92.7,3,46,20,30.3,14,25,14,6,9.24,43,12,21.8,33,13,6,0,2.98,-5,0,-7.6,0,-0.0310531641926715,-0.194701053530415,-0.225754217723087,3.2316487778587,1.28496248832881,4.51661126618752,-3.26270194205137,-1.47966354185923,-4.7423654839106,-0.167035371708497,-0.230696308579352,-0.397731680287849,3.11114100715329,1.23646491385819,4.34760592101148,0.035283013815762,0.4619392970143,0.622099213871257,3.31192165928933,0.4619392970143,3.77386095630363,-3.27663864547357,0,-3.27663864547357,1.10691959786687,0.45824446706803,0.904956242160811,2.0124,-2.1046938924073,0,2.21202705244096,1.43,"A",0.0614451959011378,0.0161461828645326
"23","Smalls",30,8,26.7,81,3,0,0,7,2,13,4,0,0,0,0,8,31,3,91.2,85.8,5.40000000000001,0,0,3,4,29,3,0,2,0,0,3,34,10,77.3,4.5,26,8,23.5,8,19,5,2,7.06,34,10,22.7,4,29,8,3,8.41,-2,-3.5,-5.9,-8,1.67151489423587,-2.60203659854344,-0.930521704307568,3.34226849300579,1.87171382578046,5.21398231878626,-1.67075359876993,-4.4737504243239,-6.14450402309382,1.8403125262468,-2.40385533344475,-0.563542807197948,3.51381252424506,2.03701805427297,5.55083057851802,1.64880766600266,-0.69276113109727,1.08092343794659,3.09155462019018,0.561812077435326,3.6533666976255,-1.44274695418751,-1.2545732085326,-2.69732016272011,1.53462812593792,-0.652550234745608,0.386345715839502,2.0461,-0.623801378180605,-1.25210777571293,1.13493235062732,1.12,"A",0.0378310783542441,0.0140115105015719
"24","Spaghetti",31,8,25.8,98,13,3,3,17,4,14,2,0,1,0,1,1,40,6,87,89.8,-2.8,2,4,18,2,9,0,1,0,0,0,3,34,5,87.2,4,34,12,26.1,22,11,8,2,5.7,28,11,28.2,23,11,3,0,2.7,-5,-1.5,-10.9,-3.8,0.510956797596526,-2.83243458686534,-2.32147778926882,2.82027650304635,-0.413397925756118,2.40687857729023,-2.30931970544983,-2.41903666110922,-4.72835636655905,0.5653812298615,-2.83172139722186,-2.26634016736036,2.87332974129863,-0.449594921599305,2.42373481969932,0.349714414868909,-0.887781954945897,-0.413190637035794,2.4363502021032,0.141626624935536,2.57797682703874,-2.08663578723429,-1.02940857988143,-3.11604436711573,-1.02817920981791,-0.397660482660969,0.768279281998985,-0.424,-2.14881048624233,-0.621038021676136,-1.08027789728804,-0.76,"D",-0.0348476741060657,-0.0110232438498779
"25","Spencer",27,11,40.7,89,1,0,4,16,4,9,2,0,3,0,2,0,38,2,95,88.4,6.59999999999999,0,2,11,5,19,2,0,4,0,2,3,43,5,89.6,4,23,17,42.5,22,14,2,2,4.25,30,18,37.5,20,24,2,2,4.58,-1.5,-1,-3.8,-2.1,1.20149746950562,0.383532478109763,1.58502994761539,1.93126782708285,2.62004573172126,4.55131355880411,-0.729770357577226,-2.2365132536115,-2.96628361118872,1.45344619045781,0.669585348328731,2.12303153878654,2.16138432023106,2.8601816172229,5.02156593745396,1.22465918971063,0.371259182026713,1.72079527477854,1.90391204600689,0.757132043052668,2.66104408905956,-0.67925285629626,-0.385872861025954,-1.06512571732221,1.05237840037138,0.287253153732122,0.447863130081033,1.6484,-0.416688129466162,-0.414593682467461,1.67703573910505,1.72,"A",0.0621124347816686,0.0188430981921916
"26","Trent",14,6,42.9,34,1,0,1,3,2,7,0,0,0,0,2,1,14,2,87.5,90.7,-3.2,0,0,0,0,13,3,0,0,0,0,1,16,1,94.1,4.5,13,3,18.8,6,7,3,0,5,16,1,5.9,0,8,6,3,13.82,-2,-0.5,-12.5,-2.9,-0.21302766680765,2.35188838417238,2.13886071736473,1.17708326995874,2.69486359078409,3.87194686074283,-1.39011093676639,-0.342975206611711,-1.7330861433781,-0.235218619739698,2.32254030968944,2.08732168994974,1.15540289743644,2.65886897516001,3.81427187259644,-0.515312244664091,0.456330637488161,0.065895295865265,1.00124285851939,0.792659302958726,1.79390216147811,-1.51655510318348,-0.336328665470565,-1.85288376865404,-0.314275678874839,0.401023002547134,0.160300300074172,-0.0514,-0.82607126803379,-0.408361444910408,0.091005587920064,0.08,"C",0.00650039913714743,0.00267663493882541
